DigimonId,Name,RankId,DigimonTypeId,LearnedSkillId,SpecialtyId,Found,HasImage,Code,HP,MP,Att,Def,Speed,StatCurveVerified
103,AeroVeedramon,3,1,236,6,,True,"
B4",1,0,1,1,2,True
1,Agumon,1,1,192,6,You get as partner when you join the Gold Hawk Guard Team,True,03,1,0,1,2,1,True
32,Airdramon,2,1,213,6,"Scan Domain, Giga Domain",True,"
07",1,0,1,1,2,True
33,Akatorimon,2,2,298,4,"Laser Domain, Port Domain, BIOS Domain 2",True,"
5F",1,1,1,0,2,True
104,Andromon,3,1,176,3,,True,"
28",2,1,0,1,1,True
34,Angemon,2,1,151,6,"Drive Domain 2, Laser Domain",True,"
14",2,1,0,1,1,True
105,Angewomon,3,1,164,6,,True,"
EA",2,1,0,1,1,True
35,Apemon,2,1,182,6,"Laser Domain, Drive Domain 2",True,"
CF",2,1,1,1,0,True
154,Baihumon,4,2,281,6,Tera Domain,True,"
95",1,1,1,2,0,True
36,Bakemon,2,3,144,1,"Diode Domain, Laser Domain",True,"
25",0,1,2,1,1,True
2,Betamon,1,3,141,6,"SCSI Domain, Disk Domain, Web Domain",True,"
04",0,0,2,1,1,True
37,Birdramon,2,1,185,2,"Drive Domain 2, Laser Domain, Code Domain",True,"
15",1,0,1,1,2,True
3,Biyomon,1,1,215,4,"SCSI Domain, Video Domain, Drive Domain",True,"
2D",1,0,1,1,2,True
106,Blossomon,3,2,188,4,,True,"
C8",0,2,1,1,1,True
107,BlueMeramon,3,2,260,2,,True,68,1,1,2,1,0,True
155,Boltmon,4,2,227,3,"Chaos Tower, Tera Domain",True,"
BE",1,1,2,1,0,True
4,Candlemon,1,2,152,2,"BIOS Domain, Modem Domain",True,"
BC",1,1,2,1,0,True
38,Centarumon,2,2,211,6,"Port Domain, Scan Domain, Laser Domain, Modem Domain",True,"
24",1,1,1,2,0,True
184,ChaosLord,4,3,,1,,True,"
F8",1,1,1,1,1,True
108,Cherrymon,3,3,193,4,,True,"
79",0,2,2,1,0,True
5,ClearAgumon,1,1,293,6,"Drive Domain, Video Domain, Drive Domain 2",True,"
62",2,1,0,1,1,True
39,Clockmon,2,2,254,3,"Web Domain, Modem Domain, Port Domain",True,"
8F",1,1,2,1,0,True
40,Coelamon,2,2,155,5,,True,"
31",1,2,0,1,1,True
194,C-Pierrotmon,4,3,,1,,True,"
F4",1,1,1,1,1,True
6,Crabmon,1,2,208,5,"SCSI Domain, BIOS Domain, Modem Domain, Core Tower",True,"
C5",1,2,0,1,1,True
195,C-Seadramon,4,2,,5,,True,"
F5",1,1,1,1,1,True
191,C-WarGreymon,4,1,,6,,True,"
F6",1,1,1,1,1,True
41,Cyclonemon,2,3,169,6,,True,"
86",0,0,2,1,1,True
42,Darkrizamon,2,3,270,1,,True,"
65",0,0,2,1,1,True
109,Datamon,3,3,138,3,,True,8D,0,1,2,0,1,True
44,Deltamon,2,3,232,1,Laser Domain,True,"
8A",0,0,2,1,1,True
7,DemiDevimon,1,3,137,1,"You get as partner when you join the Black Sword Guard Team, Web Domain, Core Tower, SCSI Domain 2",True,"
D9",0,1,2,1,1,True
110,Deramon,3,2,203,4,,True,"
C0",1,1,1,0,2,True
45,Devidramon,2,3,133,1,"Diode Domain, Web Domain 2, Laser Domain",True,"
87",0,0,2,1,1,True
46,Devimon,2,3,145,1,"Diode Domain, Web Domain 2, Laser Domain",True,"
06",0,1,2,1,1,True
156,Diaboromon,4,3,172,1,,True,"
97",0,1,2,0,2,True
