DigimonCombineId,DigimonAId,DigimonBId,DigimonResultId
40101,103,103,37
40102,103,32,3
40103,103,33,10
40104,103,104,98
40105,103,34,3
40106,103,105,98
40107,103,35,3
40108,103,154,66
40109,103,36,3
40110,103,37,3
40111,103,106,93
40112,103,107,65
40113,103,155,65
40114,103,38,10
40115,103,184,
40116,103,108,64
40117,103,39,10
40118,103,40,10
40119,103,194,
40120,103,195,
40121,103,191,
40122,103,41,31
40123,103,42,31
40124,103,109,32
40125,103,44,31
40126,103,110,66
40127,103,45,31
40128,103,46,3
40129,103,156,64
40130,103,111,65
40131,103,47,3
40132,103,112,32
40133,103,48,10
40134,103,43,31
40135,103,113,84
40136,103,114,98
40137,103,49,3
40138,103,50,10
40139,103,51,28
40140,103,52,3
40141,103,115,32
40142,103,116,37
40143,103,53,3
40144,103,54,3
40145,103,55,3
40146,103,56,3
40147,103,117,98
40148,103,118,98
40149,103,157,64
40150,103,182,31
40151,103,158,66
40152,103,193,
40153,103,192,
40154,103,185,
40155,103,57,3
40156,103,58,3
40157,103,159,64
40158,103,59,3
40159,103,60,3
40160,103,61,10
40161,103,160,37
40162,103,62,3
40163,103,161,84
40164,103,63,10
40165,103,64,28
40166,103,181,65
40167,103,65,10
40168,103,66,10
40169,103,67,28
40170,103,189,
40171,103,68,3
40172,103,119,93
40173,103,162,98
40174,103,120,98
40175,103,163,98
40176,103,121,65
40177,103,122,84
40178,103,164,32
40179,103,123,32
40180,103,124,98
40181,103,125,98
40182,103,127,33
40183,103,69,10
40184,103,165,84
40185,103,128,98
40186,103,129,65
40187,103,130,98
40188,103,131,66
40189,103,166,66
40190,103,126,64
40191,103,73,3
40192,103,70,10
40193,103,132,84
40194,103,71,10
40195,103,167,33
40196,103,72,10
40197,103,133,98
40198,103,74,3
40199,103,76,10
40200,103,183,
40201,103,75,10
40202,103,77,3
40203,103,78,3
40204,103,79,3
40205,103,134,64
40206,103,168,98
40207,103,187,
40208,103,188,
40209,103,135,98
40210,103,136,98
40211,103,169,37
40212,103,81,3
40213,103,170,98
40214,103,137,66
40215,103,172,65
40216,103,171,33
40217,103,80,3
40218,103,173,32
40219,103,138,93
40220,103,174,64
40221,103,139,37
40222,103,82,3
40223,103,83,28
40224,103,190,
40225,103,175,93
40226,103,84,3
40227,103,176,65
40228,103,85,10
