DigimonEvolutionId,FromDigimonId,ToDigimonId,DPMin,DPMax
1,2,43,0,2
2,2,42,3,5
3,2,95,6,
4,7,60,0,3
5,7,46,4,
6,8,51,0,
7,12,74,0,
8,13,41,0,2
9,13,44,3,5
10,13,45,6,
11,14,79,0,
12,17,77,0,0
13,17,91,1,1
14,17,80,2,3
15,17,82,4,5
16,17,57,6,
17,18,67,0,
18,19,99,0,0
19,19,83,1,3
20,19,101,4,
21,20,55,0,2
22,20,78,3,
23,25,59,0,
24,26,78,0,2
25,26,56,3,
26,30,36,0,2
27,30,89,3,
28,36,136,0,
29,41,125,0,
30,42,114,0,
31,43,114,0,5
32,43,130,6,
33,44,125,0,5
34,44,117,6,
35,45,117,0,
36,46,133,0,
37,51,134,0,
38,55,141,0,
39,56,123,0,5
40,56,150,6,
41,57,147,0,5
42,57,115,6,8
43,57,109,9,
44,59,149,0,
45,60,133,0,
46,67,134,0,
47,74,144,0,
48,78,112,0,
49,79,113,0,
50,80,147,0,
51,82,147,0,4
52,82,115,5,
53,83,108,0,
54,89,136,0,
55,95,130,0,
56,99,108,0,
57,101,108,0,
58,108,174,0,
59,112,173,0,
60,113,165,0,
61,123,173,0,
62,133,179,0,
63,134,157,0,19
64,134,156,20,
65,136,170,0,
66,141,173,0,
67,142,162,0,
68,144,170,0,
69,149,165,0,
70,150,173,0,
71,4,92,0,2
72,4,69,3,5
73,4,39,6,
74,6,40,0,2
75,6,71,3,5
76,6,87,6,7
77,6,86,8,
78,9,96,0,2
79,9,50,3,5
80,9,70,6,
81,10,65,0,2
82,10,66,3,5
83,10,33,6,
84,11,38,0,2
85,11,48,3,5
86,11,76,6,7
87,11,53,8,
88,16,61,0,2
89,16,72,3,5
90,16,63,6,
91,21,93,0,
92,22,75,0,2
93,22,90,3,5
94,22,100,6,7
95,22,34,8,
96,33,137,0,
97,38,131,0,
98,39,145,0,7
99,39,143,8,
100,40,127,0,
101,48,131,0,
102,50,146,0,5
103,50,148,6,
104,61,131,0,
105,63,131,0,
106,65,110,0,
107,66,110,0,5
108,66,137,6,
109,69,107,0,5
110,69,143,6,
111,70,148,0,
112,71,140,0,
113,72,131,0,
114,75,121,0,
115,76,131,0,
116,86,127,0,
117,87,140,0,
118,90,121,0,5
119,90,129,6,7
120,90,111,8,
121,92,145,0,5
122,92,143,6,
123,93,138,0,5
124,93,106,6,7
125,93,119,8,
126,96,146,0,7
127,96,124,8,
128,100,111,0,
129,102,138,0,
130,106,175,0,
131,107,155,0,
132,110,158,0,
133,111,176,0,
134,119,175,0,
135,121,172,0,
136,127,167,0,
137,129,172,0,8
138,129,176,9,
139,131,166,0,19
140,131,154,20,
141,137,158,0,
142,138,175,0,
143,140,171,0,
144,143,155,0,
145,145,155,0,
146,1,182,0,
147,3,32,0,2
148,3,98,3,5
149,3,84,6,7
150,3,37,8,
151,5,34,0,2
152,5,81,3,
153,15,94,0,2
154,15,62,3,
155,23,62,0,2
156,23,47,3,
157,24,52,0,2
158,24,73,3,5
159,24,58,6,
160,27,97,0,2
161,27,88,3,5
162,27,53,6,7
163,27,35,8,
164,28,64,0,
165,29,68,0,2
166,29,54,3,
167,31,98,0,3
168,31,49,4,
169,32,103,0,
170,34,104,0,5
171,34,120,6,
172,35,122,0,
173,37,116,0,
174,47,152,0,
175,49,103,0,5
176,49,139,6,
177,52,132,0,
178,53,151,0,
179,54,105,0,
180,182,128,0,5
181,182,124,6,8
182,182,142,9,
183,58,151,0,
184,62,152,0,5
185,62,153,6,
186,64,126,0,
187,68,135,0,
188,73,132,0,
189,81,120,0,6
190,81,118,6,
191,84,116,0,
192,88,122,0,
193,94,153,0,
194,97,122,0,
195,98,103,0,
196,103,169,0,
197,104,177,0,
198,105,163,0,
199,116,169,0,
200,118,177,0,
201,120,177,0,
202,122,178,0,
203,124,180,0,
204,126,159,0,
205,128,180,0,19
206,128,168,20,
207,132,161,0,
208,135,176,0,8
209,135,163,9,
210,139,169,0,7
211,139,160,8,
212,151,178,0,7
213,151,166,8,
214,152,164,0,
215,153,171,0,8
216,153,164,9,
219,196,102,0,
