DigimonGroupId,DomainId,IsAfterBloodKnights,ExperiencePoints,Bits,IsBoss,Note
1,1,False,39,280,False,
2,1,False,186,530,True,
3,2,False,3,30,False,
4,2,False,3,60,False,
5,2,False,3,50,False,
6,2,False,4,40,False,
7,2,False,4,40,False,
8,2,False,4,50,False,
9,2,False,18,210,True,
10,2,True,21,210,False,
11,2,True,22,360,False,
12,2,True,27,390,False,
13,2,True,22,240,False,
14,2,True,23,240,False,
15,2,True,25,330,False,
16,2,True,58,560,False,
17,2,True,58,520,False,
18,2,True,59,520,False,
19,2,True,55,320,False,
20,2,True,52,480,False,
21,2,True,53,240,False,
22,2,True,65,500,False,
23,2,True,66,300,False,
24,2,True,104,900,False,
25,2,True,289,2100,True,
26,3,False,3,30,False,
27,3,False,3,60,False,
28,3,False,7,100,False,
29,3,False,12,180,False,
30,3,False,31,180,True,
31,3,True,22,240,False,
32,3,True,58,560,False,
33,3,True,55,320,False,
34,3,True,65,500,False,
35,3,True,78,500,False,
36,3,True,143,840,False,
37,3,True,142,900,False,
38,3,True,102,750,False,
39,3,True,289,2100,True,
40,4,False,3,50,False,
41,4,False,4,40,False,
42,4,False,12,180,False,
43,4,False,11,200,False,
44,4,False,51,840,True,
45,4,True,25,330,False,
46,4,True,59,520,False,
47,4,True,53,240,False,
48,4,True,104,900,False,
49,4,True,102,750,False,
50,4,True,139,780,False,
51,4,True,148,960,False,
52,4,True,306,1560,True,
53,4,True,433,2520,True,
54,5,False,4,40,False,
55,5,False,7,100,False,
56,5,False,10,160,False,
57,5,False,22,360,False,
58,5,False,23,240,False,
59,5,False,54,630,False,MetalGreymon can only be caught until the boss digimon is defeated.
60,5,False,102,1050,True,
61,5,True,23,240,False,
62,5,True,58,520,False,
63,5,True,52,480,False,
64,5,True,66,300,False,
65,5,True,77,300,False,
66,5,True,143,540,False,
67,5,True,145,660,False,
68,5,True,189,1260,False,
69,5,True,425,2940,True,
70,6,False,7,100,False,
71,6,False,12,180,False,
72,6,False,21,210,False,
73,6,False,22,240,False,
74,6,False,58,560,False,
75,6,False,55,320,False,
76,6,False,153,1400,True,
77,6,True,55,320,False,
78,6,True,65,500,False,
79,6,True,78,500,False,
80,6,True,143,840,False,
81,6,True,142,900,False,
82,6,True,193,910,False,
83,6,True,195,980,False,
84,6,True,244,960,False,
85,6,True,237,1200,False,
86,6,True,680,2000,True,
87,7,False,11,200,False,
88,7,False,12,180,False,
89,7,False,27,390,False,
90,7,False,25,330,False,
91,7,False,59,520,False,
92,7,False,53,240,False,
93,7,False,195,1000,True,
94,7,True,53,240,False,
95,7,True,104,900,False,
96,7,True,102,750,False,
97,7,True,139,780,False,
98,7,True,148,960,False,
99,7,True,193,910,False,
100,7,True,191,1120,False,
101,7,True,231,1120,False,
102,7,True,75,480,False,
103,7,True,237,1520,False,
104,7,True,646,3360,True,
105,8,False,7,100,False,
106,8,False,10,160,False,
107,8,False,22,360,False,
108,8,False,23,240,False,
109,8,False,58,520,False,
110,8,False,52,480,False,
111,8,False,162,1400,True,
112,8,False,120,1040,True,
113,8,True,66,300,False,
114,8,True,77,300,False,
115,8,True,143,540,False,
116,8,True,145,660,False,
117,8,True,189,1260,False,
118,8,True,199,910,False,
119,8,True,230,1120,False,
120,8,True,237,1520,False,
121,8,True,708,2600,True,
122,8,True,708,2400,True,
123,8,True,722,3920,True,
124,9,False,722,3280,True,
125,10,True,65,500,False,
126,10,True,66,300,False,
127,10,True,104,900,False,
128,10,True,78,500,False,
129,10,True,77,300,False,
130,10,True,102,750,False,
131,10,True,143,840,False,
132,10,True,143,540,False,
133,10,True,139,780,False,
134,10,True,142,900,False,
135,10,True,145,660,False,
136,10,True,148,960,False,
137,10,True,193,910,False,
138,10,True,189,1260,False,
139,10,True,193,910,False,
140,10,True,195,980,False,
141,10,True,199,910,False,
142,10,True,191,1120,False,
143,10,True,237,1200,False,
144,10,True,237,1520,False,
145,10,True,75,480,False,
146,10,True,299,1260,False,
147,10,True,291,1170,False,
148,10,True,299,1530,False,
149,10,True,296,1530,False,
150,10,True,303,1080,False,
151,10,True,290,1170,False,
152,10,True,977,2610,True,
153,11,True,65,500,False,
154,11,True,78,500,False,
155,11,True,143,840,False,
156,11,True,104,900,False,
157,11,True,102,750,False,
158,11,True,139,780,False,
159,11,True,66,300,False,
160,11,True,77,300,False,
161,11,True,143,540,False,
162,11,True,142,900,False,
163,11,True,193,910,False,
164,11,True,195,980,False,
165,11,True,148,960,False,
166,11,True,193,910,False,
167,11,True,191,1120,False,
168,11,True,145,660,False,
169,11,True,189,1260,False,
170,11,True,199,910,False,
171,11,True,231,1120,False,
172,11,True,75,480,False,
173,11,True,299,1530,False,
174,11,True,230,1120,False,
175,11,True,237,1520,False,
176,11,True,291,1170,False,
177,11,True,296,1530,False,
178,11,True,303,1080,False,
179,11,True,290,1170,False,
180,11,True,714,1620,True,
181,11,True,1011,3780,True,
182,11,True,714,2700,True,
183,12,True,360,1500,False,
184,12,True,369,1700,False,
185,12,True,469,1650,False,
186,12,True,482,1430,False,
187,12,True,453,960,False,
188,12,True,1326,2880,True,
189,12,True,570,1560,False,
190,12,True,495,1560,False,
191,12,True,1422,3900,True,
192,12,True,702,1950,False,
193,12,True,550,1300,False,
194,12,True,560,1400,False,
195,12,True,723,1820,False,
196,12,True,1572,3510,True,
197,12,True,2227,4290,True,
198,13,True,290,1170,False,
199,13,True,365,1800,False,
200,13,True,377,1900,False,
201,13,True,485,1980,False,
202,13,True,484,1540,False,
203,13,True,585,2040,False,
204,13,True,613,1800,False,
205,13,True,723,1820,False,
206,13,True,516,1300,False,
207,13,True,495,1560,False,
208,13,True,622,980,False,
209,13,True,601,2641,True,
210,13,True,1572,5460,True,
211,13,True,2456,5460,True,
212,14,True,303,1080,False,
213,14,True,348,1600,False,
214,14,True,373,1900,False,
215,14,True,452,2310,False,
216,14,True,476,1430,False,
217,14,True,586,1560,False,
218,14,True,613,1800,False,
219,14,True,514,1430,False,
220,14,True,495,1560,False,
221,14,True,595,1960,False,
222,14,True,1440,2520,True,
223,15,True,702,1950,False,
224,15,True,550,1300,False,
225,15,True,723,1820,False,
