DigimonGroupDigimonId,DigimonGroupId,DigimonId,ELevel,HP,MP,Attack,Defense,Speed
1,1,13,5,,,,,
2,1,12,5,,,,,
3,2,98,0,,,,,
4,2,68,0,,,,,
5,2,29,0,,,,,
6,3,3,1,,,,,
7,4,27,1,,,,,
8,6,25,1,,,,,
9,7,6,1,,,,,
10,8,11,1,,,,,
11,5,2,1,,,,,
12,9,17,0,,,,,
13,10,3,3,,,,,
14,10,15,3,,,,,
15,11,16,3,,,,,
16,11,11,3,,,,,
17,12,7,3,,,,,
18,12,17,3,,,,,
19,13,23,3,,,,,
20,13,23,3,,,,,
21,14,10,3,,,,,
22,14,4,3,,,,,
23,17,4,5,,,,,
24,17,4,5,,,,,
25,17,21,4,,,,,
26,23,21,5,,,,,
27,23,102,12,,,,,
28,18,20,4,,,,,
29,18,2,4,,,,,
30,18,26,4,,,,,
31,21,99,11,,,,,
32,24,77,11,,,,,
33,24,82,12,,,,,
34,24,30,5,,,,,
35,21,101,11,,,,,
36,22,5,5,,,,,
37,16,5,4,,,,,
38,16,24,4,,,,,
39,16,29,4,,,,,
40,22,34,11,,,,,
41,15,18,3,,,,,
42,15,8,2,,,,,
43,15,12,3,,,,,
44,19,28,5,,,,,
45,19,97,11,,,,,
46,20,9,5,,,,,
47,20,48,11,,,,,
48,25,42,0,,,,,
49,25,36,0,,,,,
50,25,44,0,,,,,
51,26,3,1,,,,,
52,27,27,1,,,,,
53,29,27,2,,,,,
54,29,28,2,,,,,
55,28,29,1,,,,,
56,30,66,0,,,,,
57,31,23,3,,,,,
58,31,23,3,,,,,
59,32,24,4,,,,,
60,32,29,4,,,,,
61,32,5,4,,,,,
62,34,5,5,,,,,
63,34,34,11,,,,,
64,35,73,12,,,,,
65,35,37,12,,,,,
66,36,37,12,,,,,
67,36,62,13,,,,,
68,36,58,12,,,,,
69,33,97,11,,,,,
70,33,28,5,,,,,
71,37,35,12,,,,,
72,37,182,12,,,,,
73,37,88,12,,,,,
74,38,19,5,,,,,
