DigimonGroupDigimonSkillId,DigimonGroupDigimonId,SkillId
1,1,214
2,2,140
3,4,243
4,5,228
5,3,235
6,6,215
7,7,240
8,8,128
9,9,208
10,10,127
11,11,141
12,12,134
13,13,215
14,14,181
15,15,201
16,16,127
17,17,137
18,18,134
19,20,222
20,19,222
21,21,200
22,24,152
23,22,152
24,23,152
25,27,225
26,28,218
27,29,141
28,30,125
29,31,191
30,32,191
31,33,244
32,34,157
33,34,129
34,35,301
35,38,162
36,39,228
37,37,228
38,36,228
39,37,293
40,36,293
41,40,151
42,26,194
43,25,194
44,41,142
45,42,142
46,42,280
47,43,140
48,44,221
49,45,122
50,46,205
51,47,173
52,49,144
53,50,232
54,48,270
55,48,148
56,51,215
57,54,221
58,55,228
59,53,240
60,52,240
61,56,219
62,56,200
63,58,222
64,57,222
65,59,162
66,60,228
67,61,228
68,63,151
69,64,171
70,67,163
71,68,263
72,68,122
73,69,122
74,70,221
75,66,185
76,65,185
77,71,182
78,72,189
79,73,265
80,73,211
81,74,274
82,74,200
83,75,191
84,76,133
85,76,157
86,62,293
87,61,293
88,62,228
89,78,145
90,79,253
91,77,244
92,80,141
93,81,258
94,81,128
95,82,128
96,83,128
97,84,214
98,85,140
99,87,191
100,86,191
101,88,137
102,89,142
103,90,142
104,90,280
105,91,140
106,92,218
107,93,141
108,94,125
109,95,191
110,96,191
111,98,274
112,98,200
113,99,133
114,99,157
115,100,157
116,101,244
117,100,129
118,97,191
119,102,191
120,103,212
121,104,292
122,104,191
123,105,301
124,106,196
125,107,207
126,108,270
127,108,169
128,110,165
129,111,127
130,109,301
131,113,275
132,113,191
133,112,191
134,114,191
135,112,286
136,117,208
137,115,208
138,116,208
139,118,158
140,118,257
141,119,129
142,120,201
143,121,127
144,122,200
145,123,152
146,125,211
147,126,246
148,124,127
149,127,200
150,130,152
151,128,152
152,129,152
153,133,225
154,134,198
155,135,198
156,136,248
157,139,253
158,140,282
159,140,173
160,141,173
161,142,205
162,138,211
163,137,211
164,135,294
165,145,219
166,143,219
167,144,219
168,146,298
169,146,126
170,143,215
171,132,194
172,131,194
173,148,168
174,149,173
175,147,254
176,152,162
177,153,293
178,153,228
179,150,228
180,151,228
181,156,122
182,155,221
183,154,221
184,157,240
185,158,215
186,159,181
187,161,222
188,160,222
189,163,185
190,164,152
191,162,126
192,165,221
193,166,221
194,169,182
195,170,265
196,170,211
197,171,293
198,171,228
199,172,151
200,173,171
201,176,163
202,177,263
203,177,122
204,178,122
205,175,185
206,174,185
207,168,189
208,167,189
209,179,264
210,179,215
211,180,178
212,181,178
213,181,283
214,184,217
215,185,197
216,183,220
217,182,220
218,186,235
219,187,243
220,188,165
221,166,255
222,190,262
223,190,185
224,191,225
225,189,213
226,192,214
227,195,142
228,196,142
229,196,280
230,194,140
231,193,140
232,197,258
233,197,128
234,198,128
235,199,137
236,200,134
237,201,218
238,202,141
239,203,125
240,204,191
241,205,301
242,207,207
243,207,142
244,208,216
245,206,132
246,209,191
247,210,191
248,212,274
249,212,200
250,213,133
251,213,157
252,214,157
253,215,244
254,214,129
255,211,191
256,216,191
257,217,212
258,218,292
259,218,191
260,219,196
261,222,130
262,223,286
263,223,191
264,221,207
