DigimonGroupFloorId,DigimonGroupId,Floor
1,1,1
2,2,2
3,3,1
4,4,1
5,6,2
6,7,3
7,8,3
8,5,2
9,9,4
10,10,1
11,11,1
12,12,1
13,13,2
14,23,5
15,18,3
16,24,5
17,24,6
18,21,4
19,16,3
20,22,5
21,17,3
22,14,2
23,15,2
24,19,4
25,20,4
26,25,6
27,26,1
28,29,2
29,29,3
30,28,2
31,28,3
32,27,1
33,30,5
34,31,1
35,34,2
36,34,3
37,34,4
38,33,1
39,33,2
40,33,3
41,36,4
42,36,5
43,35,3
44,35,4
45,35,5
46,37,5
47,37,6
48,38,7
49,32,1
50,32,2
51,39,7
52,40,1
53,41,1
54,42,2
55,42,3
56,43,2
57,43,3
58,43,5
59,44,5
60,45,1
61,46,1
62,46,2
63,48,2
64,48,3
65,48,4
66,49,3
67,49,4
68,49,5
69,50,4
70,50,5
71,47,1
72,47,2
73,47,3
74,51,5
75,51,6
76,51,7
77,52,7
78,53,7
79,56,3
80,54,1
81,59,6
82,55,3
83,57,4
84,57,5
85,58,4
86,58,5
87,60,6
88,64,2
89,64,3
90,64,4
91,63,1
92,63,2
93,63,3
94,68,8
95,67,5
96,67,6
97,67,7
98,66,4
99,66,5
100,66,6
101,66,7
102,65,3
103,65,4
104,65,5
105,62,1
106,62,2
107,61,1
108,69,8
109,74,5
110,74,6
111,74,7
112,70,1
113,70,2
114,75,5
115,75,6
116,75,7
117,71,1
118,71,2
119,72,3
120,72,4
121,73,3
122,73,4
123,76,7
124,81,3
125,81,4
126,81,5
127,78,1
128,78,2
129,80,2
130,80,3
131,80,4
132,79,1
133,79,2
134,79,3
135,82,4
136,82,5
137,82,6
138,84,6
139,84,7
140,83,5
141,83,6
142,83,7
143,85,7
144,85,8
145,85,9
146,77,1
147,86,9
148,90,4
149,87,1
150,87,2
151,88,2
152,89,4
153,91,5
154,91,6
155,92,5
156,92,6
157,92,7
158,93,7
159,95,1
160,95,2
161,96,1
162,96,2
163,96,3
164,97,2
165,97,3
166,97,4
167,99,4
168,99,5
169,98,3
170,98,4
171,98,5
172,101,6
173,101,7
174,101,9
175,100,5
176,100,6
177,102,7
178,102,8
179,103,9
180,94,1
181,104,9
182,105,1
183,107,3
184,107,4
185,109,5
186,108,3
187,108,4
188,110,5
189,110,7
190,110,8
191,106,1
192,106,2
193,106,7
194,111,8
195,112,8
196,113,1
197,117,4
198,117,5
199,117,6
200,119,6
201,119,7
202,119,8
203,119,9
204,115,3
205,115,4
206,118,5
207,118,6
208,118,8
209,120,8
210,120,9
211,116,3
212,116,4
213,116,5
214,114,3
215,123,10
216,121,10
217,122,10
218,124,1
219,140,6
220,130,2
221,126,1
222,150,10
223,131,3
224,138,5
225,137,5
226,134,4
227,135,4
228,129,2
229,132,3
230,141,6
231,147,9
232,128,2
233,146,9
234,133,3
235,142,6
236,139,5
237,136,4
238,148,9
239,151,10
240,151,11
241,127,1
242,149,10
243,143,8
244,144,8
245,145,8
246,125,1
247,152,11
248,153,1
249,156,2
250,158,2
251,169,6
252,174,9
253,155,3
254,176,9
255,170,6
256,161,3
257,160,3
258,168,6
259,162,4
260,163,4
261,164,4
262,166,5
263,173,8
264,165,5
265,172,8
266,175,9
267,157,2
268,167,5
269,171,8
270,178,10
271,178,11
272,154,1
273,159,3
274,179,10
275,177,10
276,180,11
277,181,12
278,182,12
279,186,3
280,186,5
281,186,6
282,185,3
283,185,4
284,185,6
285,185,17
286,184,1
287,184,2
288,184,3
289,183,1
290,183,2
291,187,6
292,187,7
293,187,8
294,187,9
295,187,10
296,187,12
297,188,7
298,189,8
299,189,9
300,189,10
301,190,11
302,191,11
303,192,12
304,192,13
305,192,14
306,193,12
307,193,13
308,193,14
309,194,14
310,195,15
311,196,15
312,197,17
313,198,1
314,202,3
315,202,5
316,202,6
317,202,8
318,203,6
319,203,9
320,203,10
321,205,10
322,205,11
323,205,13
324,205,14
325,205,15
326,201,3
327,201,4
328,201,5
329,201,6
330,201,7
331,200,1
332,200,2
333,200,3
334,199,1
335,199,2
336,204,8
337,204,9
338,204,10
339,204,11
340,204,13
341,208,14
342,208,15
343,206,11
344,206,14
345,207,12
346,209,7
347,210,12
348,211,17
349,213,1
350,213,2
351,215,3
352,215,4
353,215,6
354,221,14
355,221,15
356,217,6
357,217,7
358,217,8
359,217,9
360,220,13
361,220,14
362,216,5
363,216,6
364,216,7
365,216,8
366,214,1
367,214,2
368,214,3
369,212,1
370,219,12
371,219,13
372,218,7
373,218,9
374,218,10
375,222,17
376,223,1
377,223,15
378,223,29
379,223,43
380,223,57
381,223,71
382,223,85
383,238,13
384,238,14
385,238,27
386,238,28
387,238,41
388,238,42
389,238,55
390,238,56
391,238,69
392,238,70
393,238,83
394,238,84
395,238,97
396,229,4
397,229,18
398,229,32
399,229,46
400,229,60
401,229,74
402,229,88
403,226,2
404,226,16
405,226,30
406,226,44
407,226,58
408,226,72
409,226,86
410,239,13
411,239,14
412,239,27
413,239,28
414,239,41
415,239,42
416,239,55
417,239,56
