DigimonGroupGiftId,DigimonGroupId,GiftId,Quantity
1,1,4,1
2,3,5,1
3,4,5,1
4,6,5,1
5,7,5,1
6,8,5,1
7,5,4,1
8,10,4,1
9,11,4,1
10,12,4,1
11,13,4,1
12,14,4,1
13,23,4,2
14,23,5,1
15,18,5,1
16,18,4,1
17,21,5,1
18,24,4,2
19,24,5,1
20,21,4,2
21,22,5,1
22,16,4,1
23,22,4,2
24,17,4,1
25,15,4,1
26,19,4,2
27,20,4,2
28,26,5,1
29,27,5,1
30,29,4,1
31,28,4,1
32,31,4,1
33,32,4,1
34,34,4,2
35,34,5,1
36,35,5,1
37,33,4,2
38,36,4,2
39,36,5,1
40,35,4,2
41,37,5,1
42,37,4,2
43,38,5,1
44,38,4,2
45,40,4,1
46,42,4,1
47,41,5,1
48,43,4,1
49,45,4,1
50,46,4,1
51,46,5,1
52,47,5,1
53,48,4,2
54,48,5,1
55,49,4,2
56,49,5,1
57,50,4,3
58,47,4,2
59,51,4,3
60,54,5,1
61,56,5,1
62,59,5,1
63,59,4,2
64,55,4,1
65,57,4,1
66,58,4,1
67,61,4,1
68,64,4,2
69,64,5,1
70,65,5,1
71,63,4,2
72,67,4,2
73,67,5,1
74,66,4,2
75,66,5,1
76,65,4,2
77,62,4,1
78,70,4,1
79,74,4,1
80,71,4,1
81,75,4,2
82,72,4,1
83,73,4,1
84,77,3,1
85,81,3,1
86,81,5,1
87,78,5,1
88,78,3,1
89,79,5,1
90,80,3,1
91,80,5,1
92,79,3,1
93,82,3,1
94,82,4,1
95,83,4,1
96,84,3,1
97,84,4,1
98,83,3,1
99,85,4,1
100,85,3,1
101,87,4,1
102,90,4,1
103,88,4,1
104,89,4,1
105,91,4,1
106,91,5,1
107,92,5,1
108,92,4,2
109,94,4,2
110,95,4,2
111,95,5,1
112,94,5,1
113,96,5,1
114,96,4,2
115,97,3,1
116,98,3,1
117,99,3,1
118,99,4,1
119,98,4,1
120,100,3,1
121,101,3,1
122,101,4,1
123,100,4,1
124,102,3,1
125,102,4,1
126,103,3,1
127,103,4,1
128,97,4,1
129,105,4,1
130,107,4,1
131,108,4,1
132,109,4,1
133,110,4,2
134,106,5,1
135,113,3,1
136,113,5,1
137,114,5,1
138,117,3,1
139,117,4,1
140,118,4,1
141,119,3,1
142,119,4,1
143,115,3,1
144,115,5,1
145,118,3,1
146,120,4,1
147,120,3,1
148,116,3,1
149,116,5,1
150,114,3,1
151,125,3,1
152,140,3,1
153,140,4,1
154,127,4,2
155,130,4,2
156,130,5,1
157,125,5,1
158,126,5,1
159,126,3,1
160,127,5,1
161,128,5,1
162,131,3,1
163,131,5,1
164,138,3,1
165,138,4,1
166,137,3,1
167,137,4,1
168,134,3,1
169,134,5,1
170,135,3,1
171,135,5,1
172,129,3,1
173,129,5,1
174,132,3,1
175,132,5,1
176,141,3,1
177,141,4,1
178,147,3,1
179,147,4,1
180,128,3,1
181,146,5,1
182,146,3,1
183,146,4,1
184,148,5,1
185,133,3,1
186,133,4,1
187,142,3,1
188,142,4,1
189,139,3,1
190,139,4,1
191,136,3,1
192,136,4,1
193,148,3,1
194,148,4,1
195,151,5,1
196,151,3,3
197,143,4,1
198,143,3,1
199,144,4,1
200,144,3,1
201,145,4,1
202,145,3,1
203,153,3,1
204,153,5,1
205,154,5,1
206,156,4,2
207,157,4,2
208,158,4,1
209,158,3,1
210,163,4,1
211,169,3,1
212,169,4,1
213,155,3,1
214,155,5,1
215,170,3,1
216,170,4,1
217,161,3,1
218,161,5,1
219,160,3,1
220,160,5,1
221,168,3,1
222,168,5,1
223,162,3,1
224,162,5,1
225,163,3,1
226,164,4,1
227,164,3,1
228,165,4,1
229,166,3,1
230,166,4,1
231,173,3,1
232,173,4,1
233,173,5,1
234,165,3,1
235,167,4,1
236,171,4,1
237,172,4,1
238,172,3,1
239,175,4,1
240,175,3,1
241,156,5,1
242,157,5,1
243,167,3,1
244,171,3,1
245,154,3,1
246,159,5,1
247,159,3,1
248,179,5,1
249,179,3,3
250,183,2,1
251,186,2,1
252,186,3,1
253,183,3,1
254,184,3,1
