ExperienceId,Level,LevelXP,TotalXP
1,1,0,0
2,2,6,6
3,3,10,16
4,4,17,33
5,5,24,57
6,6,34,91
7,7,47,138
8,8,60,198
9,9,76,274
10,10,95,369
11,11,114,483
12,12,117,600
13,13,160,760
14,14,221,981
15,15,300,1281
16,16,400,1681
17,17,521,2202
18,18,660,2862
19,19,820,3682
20,20,1001,4683
21,21,1200,5883
22,22,1257,7140
23,23,1380,8520
24,24,1560,10080
25,25,1800,11880
26,26,2100,13980
27,27,2460,16440
28,28,2880,19320
29,29,3360,22680
30,30,3900,26580
31,31,4500,31080
32,32,4660,35740
33,33,4900,40640
34,34,5260,45900
35,35,5740,51640
36,36,6340,57980
37,37,7060,65040
38,38,7900,72940
39,39,8860,81800
40,40,9940,91740
41,41,11140,102880
42,42,12460,115340
43,43,13900,129240
44,44,15460,144700
45,45,17140,161840
46,46,18940,180780
47,47,20860,201640
48,48,22900,224540
49,49,25060,249600
50,50,27440,277040
51,51,29940,306980
52,52,31960,338940
53,53,34900,373840
54,54,37660,411500
55,55,40540,452040
56,56,43540,495580
57,57,46660,542240
60,59,53260,645400
61,60,56740,702140
62,61,60340,762480
63,62,64060,826540
64,63,65535,892075
65,64,65535,957610
66,65,65535,1023145
67,66,65535,1088680
68,67,65535,1154215
69,68,65535,1219750
70,69,65535,1285285
71,70,65535,1350820
72,71,65535,1416355
73,72,65535,1481890
74,73,65535,1547425
75,74,65535,1612960
76,75,65535,1678495
77,76,65535,1744030
78,77,65535,1809565
79,78,65535,1875100
80,79,65535,1940635
81,80,65535,2006170
82,81,65535,2071705
83,82,65535,2137240
84,83,65535,2202775
85,84,65535,2268310
86,85,65535,2333845
87,86,65535,2399380
88,87,65535,2464915
89,88,65535,2530450
90,89,65535,2595985
91,90,65535,2661520
92,91,65535,2727055
93,92,65535,2792590
94,93,65535,2858125
95,94,65535,2923660
96,95,65535,2989195
97,96,65535,3054730
98,97,65535,3120265
99,98,65535,3185800
100,99,65535,3251335
101,58,49900,592140
