SkillId,RankId,SpecialtyId,SkillTypeId,SkillTargetId,Name,Description,MP,Power,Notes,IsVerified,Code
122,2,4,1,1,Air Attack,Shoots an Air Burst,8,20.0,,True,29
321,4,6,4,6,Alias Fake,Make clone to avoid attack,26,0.0,Enemy has a higher chance of missing you,True,EA
123,3,3,1,1,Alien Ray,Fires a Ray Beam,20,37.5,,True,48
264,2,6,4,4,Anti-Confusion,Cures Confusion,12,0.0,,True,
263,2,6,4,4,Anti-Dote,Cures Poison,10,0.0,,True,
265,2,6,4,4,Anti-Freeze,Cures Paralysis,12,0.0,,True,
324,4,6,4,6,Armor Aid,Strengthens your Armor,20,0.0,Boosts your defense by 20%,True,EF
266,2,6,4,4,Armor Coating,Boost Digimon attack power,10,0.0,Boosts one ally Digimon attack by 20%,True,C1
267,4,6,4,2,Banana Slip,Trips all resting enemies,60,0.0,Causes all countering digimon to lose turn,True,BB
243,2,6,3,1,Beast King Fist,Damage return on Counter,12,15.0,"Counter returns damage dealt 1.5x, floored (rounded down)",True,8B
124,3,3,1,2,Big Bang Boom,Throws Grenades at all foe,40,30.0,,True,37
125,1,6,1,1,BlackPearl Shot,Attacks with no defense,4,20.0,,True,3D
126,2,2,1,1,Blaze Blast,Shoots a Breath of Fire,10,25.0,,True,0E
268,2,2,4,4,Blaze Buster,Add Flame FX to attack,10,0.0,Changes all moves used by the Digimon to Fire,True,
302,4,6,1,7,Blind Attack,Attacks friend and foe,30,60.0,"Randomly attacks one digimon, friend or enemy",True,DD
127,1,2,1,1,Blue Blaster,Shoots a FIreball,4,10.0,,True,08
128,1,5,1,1,Bolt Strike,Fires a Frozen Missile,6,10.0,,True,65
129,1,4,1,1,Boom Bubble,Shoots a Boom Bubble,6,12.5,,True,03
130,2,4,1,1,Brown Stinger,Shoots Poison Needles,12,20.0,,True,6B
244,2,1,3,1,Buffalo Breath,Confuses foe in Counter,10,22.5,,True,8C
303,4,3,1,3,Chaos Cannon,Allows repeated attacks,40,25.0,Allows multiple hits if the previous hit knocks out an opponent,True,DC
254,2,3,2,1,Chrono Breaker,Delays foe's attack to end,14,20.0,,True,A5
131,3,6,1,1,Concert Crush,Foe can't use Power Techs,18,27.5,,True,49
132,2,5,1,1,Coral Crusher,Slows enemy down,12,20.0,Lowers speed by 20%,True,43
133,2,1,1,1,Crimson Claw,"Confuse, Poison + Stun foe",18,35.0,"If you have one of these statuses, then the skill will transfer that status to your enemy.",True,70
269,4,6,4,4,Crimson Flame,Full HP revival,50,0.0,"Restores one digimon to full health, even if dead",True,B7
317,4,6,1,1,Critical Blow,Final Blow to weakened foe,26,20.0,Will only deal damage if it will defeat them (It is at least 20 AP),True,E2
135,3,3,1,3,Dark Shot,Fires an Organic Missle,20,40.0,,True,4A
134,1,3,1,1,Darkness Gear,Fires a Darkness Gear,8,17.5,,True,64
270,2,1,4,4,Darkness Ray,Learn Dark Power attacks,10,0.0,Changes all moves used by the Digimon to Darkness,True,D3
136,3,3,1,1,Darkside Attack,Foes can't recover HP,20,32.5,,True,4B
271,2,6,4,4,Defensive Ray,Boost your Defense Power,10,0.0,Boosts one ally digimon defense by 20%,True,BD
137,1,1,1,1,Demi Dart,Lowers enemy MP a little,8,15.0,,True,3C
308,4,6,1,2,Destabilizer Ray,Lower Def.Power of all foe,36,0.0,Lowers defense of all enemy Digimon by 20%,True,F9
138,3,3,1,2,Digital Bomb,Toss sm. Bombs on all foes,30,22.5,,True,71
139,3,6,1,2,Duo ScissorClaw,Lowers all foes Def. Power,36,22.5,Lower's target digimon's defense by ~20% (before applying damage itself),True,51
141,1,4,1,1,Electric Shock,Fires an Electric Burst,8,17.5,,True,3B
142,1,4,1,1,Electro Thread,Shoots Electro Threads,8,17.5,,True,3F
255,2,4,2,1,Electro-Shocker,Lower Power of foe attack,12,22.5,Lower's the attack stat of target digimon by 20%,True,A0
245,3,3,3,1,Energetic Bomb,CounterAttack hits all foes,20,30.0,"When countering, all foes are hit instead of just one.",True,87
143,4,3,1,2,Energy Blast,Shoot Energy Blasts at foe,60,37.5,,True,E9
318,4,6,1,1,Energy Blast (Boss),Fires an Energy Blast,40,60.0,,True,E9
140,1,1,1,1,E-Stun Blast,Stuns foe with a Blast,8,15.0,May paralyze,True,69
144,2,1,1,1,Evil Charm,Fade-away Spell confusion,12,20.0,Can confuse,True,42
145,2,1,1,1,Evil Touch,Lowers enemy's MP,12,22.5,,True,41
146,3,5,1,2,Evil Wind,Slows enemy down,36,20.0,Reduces speed by 20%,True,4E
306,4,2,1,2,Fantasmic Bomb,Attack wave on all enemies,84,42.5,,True,F1
314,4,3,1,2,Fantasmic Ray,Attack wave on all enemies,90,45.0,,True,F4
148,2,2,1,2,Fire Blast,Shoots Flame at all foes,22,17.5,,True,6F
149,3,3,1,1,Fire Blast II,Fires an Organic Missile,20,37.5,,True,72
150,4,6,1,2,Fire Tornado,Shoots Energy at all foes,80,45.0,,True,63
147,2,2,1,1,Fireball,Shoots a Fire Punch,12,30.0,,True,0A
151,2,6,1,1,Fist of Fate,Throws a Light-Speed Punch,10,27.5,,True,28
152,1,2,1,1,Flame Bomber,Shoots a Fireball,6,15.0,,True,04
153,2,2,1,1,Flaming Rocket,Shoots a Blazing Missile,12,30.0,,True,D9
154,3,4,1,1,Flower Cannon,Fires Flower Energy Blast,16,35.0,,True,12
155,2,6,1,1,Fossil Bite,Attacks with Claws,8,20.0,,True,0B
156,4,5,1,2,Freeze Breath,Frozen Breath hits all foe,60,37.5,,True,1E
157,1,2,1,4,Friendly Fire,Enemies attack themselves,4,17.5,Allows you to attack an ally in order to trigger various moves,True,CF
272,4,6,4,5,Full HP Cure,Digimon full HP recovery,80,0.0,Fully recovers all ally digimon in battle,True,B8
